getpid(), current_time, number, utime, stime, ru_maxrss, ru_msgsnd, ru_msgrcv, ru_nvcsw, ru_nivcsw
19031, 1264542522.750200, 20382001, 0.700707, 0.002653, 192512, 43, 0, 1, 304
19032, 1264542522.753905, 30294001, 0.641055, 0.001939, 192512, 41, 0, 1, 238
19028, 1264542522.753934, 0, 0.001520, 0.005459, 360448, 0, 245, 233, 11
19034, 1264542522.761380, 50253001, 0.682061, 0.002557, 192512, 33, 0, 1, 326
19032, 1264542522.794264, 30303001, 0.660667, 0.002006, 192512, 42, 0, 1, 247
19032, 1264542522.807201, 30309001, 0.673491, 0.002038, 192512, 43, 0, 1, 251
19030, 1264542522.809161, 10521001, 0.718321, 0.003469, 192512, 85, 0, 1, 359
19030, 1264542522.813488, 10524001, 0.722625, 0.003480, 192512, 86, 0, 1, 360
19028, 1264542522.813510, 0, 0.001540, 0.005509, 360448, 0, 250, 238, 11
19032, 1264542522.825652, 30313001, 0.681855, 0.002061, 192512, 44, 0, 1, 253
19034, 1264542522.854462, 50269001, 0.724690, 0.002622, 192512, 34, 0, 1, 334
19031, 1264542522.855001, 20401001, 0.735227, 0.002723, 192512, 44, 0, 1, 315
